symbol,Date,Open,High,Low,Close,Adj Close,Volume,Brent_Price, Gold_Price ,
2010,3/4/2024,78.300003,78.699997,77.699997,77.699997,77.699997,1124937,82.8," $2,126.30 ",
2010,3/5/2024,77.699997,77.699997,77.699997,77.699997,77.699997,0,82.04," $2,141.90 ",
2010,3/6/2024,78,79.199997,78,78.900002,78.900002,1071055,82.96," $2,158.20 ",
2010,3/7/2024,79,79,78,78.199997,78.199997,1063182,82.96," $2,165.20 ",
2010,3/10/2024,78.199997,78.599998,78.099998,78.400002,78.400002,679013,#N/A,#N/A,
2010,3/11/2024,78.199997,78.699997,77.900002,78.699997,78.699997,1360266,82.21," $2,188.60 ",
2010,3/12/2024,78.599998,78.900002,78.199997,78.599998,78.599998,1206184,81.92," $2,166.10 ",
2010,3/13/2024,78.699997,78.800003,77.900002,77.900002,77.900002,1841396,84.03," $2,180.80 ",
2010,3/14/2024,78,78.199997,77.400002,77.400002,77.400002,3128839,85.42," $2,167.50 ",
2010,3/17/2024,77.5,77.699997,77.400002,77.400002,77.400002,648163,#N/A,#N/A,
2010,3/18/2024,77.599998,77.699997,76.900002,76.900002,76.900002,1860609,86.89," $2,164.30 ",
2010,3/19/2024,76.900002,77.300003,76.800003,76.800003,76.800003,1157875,87.38," $2,159.70 ",
2010,3/20/2024,77,78.800003,76.900002,78.800003,78.800003,1799037,85.95," $2,161.00 ",
2010,3/21/2024,78.800003,78.900002,77.599998,77.599998,77.599998,1173293,85.78," $2,184.70 ",
2010,3/24/2024,78.599998,78.599998,77.5,77.900002,77.900002,588752,#N/A,#N/A,
2010,3/25/2024,77.900002,78,77.099998,77.099998,77.099998,1041642,86.75," $2,176.40 ",
2010,3/26/2024,77.300003,77.400002,76.800003,77,77,1103384,86.25," $2,177.20 ",
2010,3/27/2024,77.300003,77.300003,76.800003,77,77,893829,86.09," $2,190.60 ",
2010,3/28/2024,77.099998,78.599998,76.900002,78.099998,78.099998,2029926,87.48," $2,217.40 ",
2010,3/31/2024,78.099998,79,78.099998,78.300003,78.300003,1409065,#N/A,#N/A,
2010,4/1/2024,78.300003,80.5,78.300003,78.699997,78.699997,2275701,87.42," $2,257.10 ",
2010,4/2/2024,78.699997,83.400002,78.699997,83,83,6411214,88.92," $2,281.80 ",
2010,4/3/2024,83.199997,86.400002,82.599998,86.099998,86.099998,6865606,89.35," $2,315.00 ",
2010,4/4/2024,86.199997,89,86.099998,88.400002,88.400002,6139091,90.65," $2,308.50 ",
2010,4/14/2024,null,null,null,null,null,null,#N/A,#N/A,
2010,4/15/2024,85.699997,87.400002,85.400002,85.699997,85.699997,2371668,90.1," $2,383.00 ",
2010,4/16/2024,85.699997,85.699997,82.099998,82.099998,82.099998,2701105,90.02," $2,407.80 ",
2010,4/17/2024,82.099998,82.5,80.800003,81.900002,81.900002,2370538,87.29," $2,388.40 ",
2010,4/18/2024,81.900002,81.900002,80.699997,80.900002,80.900002,1541254,87.11," $2,398.00 ",
2010,4/21/2024,81.099998,81.599998,79.599998,79.699997,79.699997,1254917,#N/A,#N/A,
2010,4/22/2024,80,80.5,78.900002,78.900002,78.900002,1825203,87," $2,346.40 ",
2010,4/23/2024,79.199997,80.400002,79.199997,79.800003,79.800003,1248682,88.42," $2,342.10 ",
2010,4/24/2024,79.900002,80.099998,78.699997,78.900002,78.900002,1306771,88.02," $2,338.40 ",
2010,4/25/2024,79.699997,79.699997,78.800003,78.800003,78.800003,622423,89.01," $2,342.50 ",
2010,4/28/2024,78.800003,78.800003,78.800003,78.800003,78.800003,0,#N/A,#N/A,
2010,4/29/2024,82.800003,87,82.300003,85.5,85.5,4394504,88.4," $2,357.70 ",
2010,4/30/2024,85.800003,85.800003,84,84.5,84.5,3430022,85.9,#N/A,
